OTU,S110_L001,S111_L001,S112_L001,S113_L001,S114_L001,S115_L001,S116_L001,S117_L001,S118_L001,S119_L001,S120_L001,S121_L001,S122_L001
5e8764361149f1e5eab1bb64177f63a1d0bdaf69,1,0,2,3,0,4,6,11,2,0,2,1,7
60a9bc003c81aeef503af5ab2f164378cda2b780,0,0,0,7,0,11,3,7,1,6,0,0,4
6be1c103a725383ea72f193576ce86c4a17a1ea9,0,0,0,2,0,7,10,10,4,3,0,3,0
6f8d3b3690ebd555bd2e33a4f7dde3257b1ae5c2,0,0,2,4,0,5,5,10,3,2,1,3,4
72450fcfa4a3b0e1e397f6b3146d6282fddc132a,1,0,2,5,0,8,5,6,2,0,3,4,3
74de56695a18c4347d9019398a822142ffbd6f43,0,0,2,1,2,13,3,10,0,1,2,2,3
a1daecfbf32f52b49af7d9fa52998121a4efb269,1,0,4,1,4,8,6,7,2,2,1,3,0
ac65065c5e7005b97746b96d76e36d8e84224dbf,0,0,1,3,0,9,6,8,4,5,0,1,2
b37ed9fe8ca89c0d0a6b733676a02b7010c4203c,0,0,1,2,0,7,10,8,1,9,0,1,0
c97313a8887b79160e43ea88c09352edfae12338,0,0,5,1,0,6,8,5,1,5,2,2,4
ce28bb117ad9215bc0939ea74cd0f93f8c7a16e4,2,0,5,8,2,7,2,5,1,4,0,2,1
cf914699c68705d0d77cd252b36412d83b117557,0,0,3,4,0,16,5,5,3,2,0,1,0
d4e3bee1f6371d0a836ead6d5cc034e6361a421a,0,0,3,4,1,9,3,9,4,2,3,1,0
df3552660c32ac5e59b21e3010f645cfdc642aea,0,0,2,2,2,5,10,9,3,4,2,0,0
e44c0b7537cbccdb1d36a3ccc1cfa9cd76a63e06,0,0,3,1,0,14,4,7,0,4,0,4,2
f014aad5610b16e0045ddabdc4eb046d189cbdb6,0,0,3,4,0,9,11,9,0,1,1,1,0
1011a7464cf06880f98529200ce1c0269fa62eea,0,0,2,3,1,7,9,9,1,3,0,2,1
23b620dd57fe00974fd4911ae7255bfc0fc7a4b0,0,0,5,3,0,13,4,8,1,2,0,2,0
41cf4bc0c905d0fa25800a97b2d3fde4ec5800ac,1,0,0,3,2,11,4,6,3,4,0,3,1
4531718fb5d28bbd945d770b7421e282ab670943,0,0,3,6,1,9,6,4,0,3,2,2,2
5142e8a95d3c679fb83903a60916661cb4778e43,0,0,1,4,0,15,7,9,0,2,0,0,0
6293eb625015a1c2b1e8804615840ec184df4666,1,0,1,3,2,5,11,5,0,3,4,2,1
650642dd13a6892381f7f4eabddf86176a618f6e,0,0,2,0,1,11,5,4,2,2,3,6,2
6b148b40d97b49abd5dcd9101c05cb629750222e,1,0,2,2,0,6,9,12,2,0,1,1,2
