OTU,MXA_G5134,MXA_G5135,MXA_G5136,MXA_G5137,MXA_G5138,MXA_G5139,MXA_MX10,MXA_MX11,MXA_MX12,MXA_MX13,MXA_MX14,MXA_MX15,MXA_MX16,MXA_MX17,MXA_MX18,MXA_MX19,MXA_MX1a,MXA_MX20,MXA_MX21,MXA_MX22,MXA_MX23,MXA_MX24,MXA_MX25,MXA_MX26,MXA_MX27,MXA_MX28,MXA_MX29,MXA_MX2b,MXA_MX3,MXA_MX30,MXA_MX31,MXA_MX32,MXA_MX33,MXA_MX34,MXA_MX35,MXA_MX36,MXA_MX4,MXA_MX5,MXA_MX7,MXA_MX8,MXA_MX9,MXA_S036,MXA_S163,MXA_S164,MXA_S165,MXA_S529,MXA_S530,MXA_S531,MXA_S532,MXA_S657,MXA_S658,MXA_S659,MXA_S660,MXA_S661,MXA_S662,MXA_S663,MXA_S664,MXA_S665,MXA_S666,MXA_S907,MXA_S908N,MXA_S909,MXA_S910N,MXA_S911,MXA_S912,MXA_S913,MXA_S914,MXA_S915,MXA_S916,MXA_S917,MXA_S918,MXA_S919,MXA_S920
Absconditella_lignicola_1_48d2230d8dfcd3fc5720fc40a8859947d7ba5951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absconditella_sp_2_28c180884f0ca25d7eef45eb57ac105e5b9075a6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absconditella_sp_3_2a4bfe55b050e7bf6d42e195c190f90b3ff788f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absconditella_sp_4_5fa47d4559cbb1539c8815edf61d2e9b99e99bc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absconditella_sp_5_7b687cdad95ade4a4c9f856f20a40155bdf038b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,11,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absconditella_sp_1_7cf732407d92fe74366c72c132f7ac3a37579298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absconditella_sp_6_7ea3b0de539f4a7da7f038461ea248300e5b29f1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absconditella_sp_7_a3b7ab4f257482e123dfbac35b301a4b3f74e415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absconditella_sp_8_e1dcdd55d986d4848b7b9b2fddcac5158869fbbc,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Absconditella_sp_9_ec6e7c59ada57323354fae93ede908d452711e80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
